지번주소_구,지번주소_동,구면적,2024년06월_1인세대,2024년06월_2인세대,2024년06월_3인세대,2024년06월_4인세대,I 숙박 및 음식점업,Q 보건업 및 사회복지 서비스업,G 도매 및 소매업,20대,30대,40대,50대,60대,총인구 (명),인구 비율,인구 밀도,녹지개소,녹지면적
사하구,괴정동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,다대동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,다대동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,다대동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,당리동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,괴정동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,신평동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,괴정동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,장림동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,신평동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,장림동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
사하구,하단동,41.77,57405,38271,24265,16171,4420,841,6972,32875,32009,41730,51123,55090,303000,9.19,7254.0,50,28532
연제구,거제동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,연산동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,연산동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,거제동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,연산동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,연산동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,연산동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,거제동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,거제동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,거제동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
연제구,거제동,12.1,38853,26321,17966,12543,3236,711,5543,23137,27347,31895,34247,34216,199751,6.06,16508.0,15,4750
금정구,구서동,65.28,47432,27387,16860,10733,3743,690,6256,27696,21557,27606,35692,39651,227484,6.9,3485.0,32,36582
금정구,남산동,65.28,47432,27387,16860,10733,3743,690,6256,27696,21557,27606,35692,39651,227484,6.9,3485.0,32,36582
금정구,노포동,65.28,47432,27387,16860,10733,3743,690,6256,27696,21557,27606,35692,39651,227484,6.9,3485.0,32,36582
금정구,구서동,65.28,47432,27387,16860,10733,3743,690,6256,27696,21557,27606,35692,39651,227484,6.9,3485.0,32,36582
금정구,청룡동,65.28,47432,27387,16860,10733,3743,690,6256,27696,21557,27606,35692,39651,227484,6.9,3485.0,32,36582
금정구,장전동,65.28,47432,27387,16860,10733,3743,690,6256,27696,21557,27606,35692,39651,227484,6.9,3485.0,32,36582
금정구,장전동,65.28,47432,27387,16860,10733,3743,690,6256,27696,21557,27606,35692,39651,227484,6.9,3485.0,32,36582
금정구,금사동,65.28,47432,27387,16860,10733,3743,690,6256,27696,21557,27606,35692,39651,227484,6.9,3485.0,32,36582
금정구,서동,65.28,47432,27387,16860,10733,3743,690,6256,27696,21557,27606,35692,39651,227484,6.9,3485.0,32,36582
중구,남포동1가,2.83,14896,5193,2229,1086,2615,246,5997,5292,4282,4317,6286,7697,41145,1.25,14539.0,40,15937
중구,남포동6가,2.83,14896,5193,2229,1086,2615,246,5997,5292,4282,4317,6286,7697,41145,1.25,14539.0,40,15937
중구,중앙동4가,2.83,14896,5193,2229,1086,2615,246,5997,5292,4282,4317,6286,7697,41145,1.25,14539.0,40,15937
서구,동대신동2가,13.95,26059,13498,7698,4642,1798,379,3994,11878,10216,13318,16722,19366,104824,3.18,7514.0,24,7803
서구,서대신동2가,13.95,26059,13498,7698,4642,1798,379,3994,11878,10216,13318,16722,19366,104824,3.18,7514.0,24,7803
서구,토성동3가,13.95,26059,13498,7698,4642,1798,379,3994,11878,10216,13318,16722,19366,104824,3.18,7514.0,24,7803
동래구,온천동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,온천동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,온천동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,온천동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,사직동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,낙민동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,온천동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,명장동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,온천동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,수안동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,안락동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,낙민동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,안락동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
동래구,안락동,16.63,43348,31340,23006,17614,4228,904,7232,27768,31111,42675,43863,42913,267292,8.11,16073.0,30,12722
부산진구,범천동,29.67,87316,46442,27933,18092,7141,1354,12400,49328,50969,49499,56524,59426,350426,10.63,11811.0,106,53585
부산진구,부전동,29.67,87316,46442,27933,18092,7141,1354,12400,49328,50969,49499,56524,59426,350426,10.63,11811.0,106,53585
부산진구,부전동,29.67,87316,46442,27933,18092,7141,1354,12400,49328,50969,49499,56524,59426,350426,10.63,11811.0,106,53585
